CATALOGO SEMESTRE:2023-1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
DETALLE DE ASIGNATURAS,,,,,,,,,
Nro,CURSO,NOMBRE DE CURSO,,CR,CAT,REQUISITO,N° SEM,OBS,CURRICULA
,,PORCEL-GUZMAN-LIZARDO,MA,[09-11],T,,EC-205,2,
,,PORCEL-GUZMAN-LIZARDO,MI,[14-16],P,,EC-205,2,
,,PORCEL-GUZMAN-LIZARDO,VI,[09-10],T,,EC-205,1,
55,EC612BEO,ECONOMIA INTERNACIONAL,,4,OEFE,EC606,5,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,SUAREZ-SANCHEZ-INGRID,MA,[16-18],T,,EC-205,2,
,,SUAREZ-SANCHEZ-INGRID,JU,[16-18],P,,EC-205,2,
,,SUAREZ-SANCHEZ-INGRID,VI,[16-17],T,,EC-205,1,
56,EC609AEO,ECONOMIA PUBLICA I,,4,OEFE,EC605,5,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,DAVILA-ROJAS-CARLOS ARTURO,LU,[09-11],T,,EC-205,2,
,,DAVILA-ROJAS-CARLOS ARTURO,MI,[09-11],P,,EC-205,2,
,,DAVILA-ROJAS-CARLOS ARTURO,VI,[08-09],T,,EC-205,1,
57,EC609BEO,ECONOMIA PUBLICA I,,4,OEFE,EC605,5,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,MENDOZA-ABARCA-MIGUEL ANGEL,MA,[09-11],T,,EC-301,2,
,,MENDOZA-ABARCA-MIGUEL ANGEL,JU,[09-11],P,,EC-301,2,
,,MENDOZA-ABARCA-MIGUEL ANGEL,VI,[09-10],T,,EC-301,1,
58,EC613AEO,HISTORIA ECONOMICA GENERAL,,4,OEFE,75 Creds.,5,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,PAREDES-GORDON-TITO LIVIO,LU,[11-13],T,,EC-205,2,
,,PAREDES-GORDON-TITO LIVIO,MI,[11-13],P,,EC-205,2,
,,PAREDES-GORDON-TITO LIVIO,VI,[10-11],T,,EC-205,1,
59,EC613BEO,HISTORIA ECONOMICA GENERAL,,4,OEFE,75 Creds.,5,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,MARTINEZ-ROJAS-ERICK MIJAIL,LU,[18-20],T,,EC-205,2,
,,MARTINEZ-ROJAS-ERICK MIJAIL,MI,[18-20],P,,EC-205,2,
,,MARTINEZ-ROJAS-ERICK MIJAIL,VI,[18-19],T,,EC-205,1,
60,EC611AEO,ORGANIZACION INDUSTRIAL,,4,OEFE,EC605,5,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,DEL POZO-LOAYZA-CESAR EDINHO,MA,[07-09],T,,EC-205,2,
,,DEL POZO-LOAYZA-CESAR EDINHO,JU,[07-09],P,,EC-205,2,
,,,VI,[07-08],T,,EC-205,1,
61,EC611BEO,ORGANIZACION INDUSTRIAL,,4,OEFE,EC605,5,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
